Research Theme,Context,Intervention,Outcome
Theme 1: Decisions on governance mode and mechanism,"In the context of high asset specificity, volume uncertainty, and behavioral uncertainty",choosing hierarchical governance,"leads to enhanced performance (Geyskens et al., 2006)."
Theme 1: Decisions on governance mode and mechanism,"In the context of low asset specificity, volume uncertainty, and behavioral uncertainty",choosing market governance,"leads to enhanced performance (Geyskens et al., 2006)."
Theme 1: Decisions on governance mode and mechanism,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits (Tiwana and Keil, 2007; Bustinza et al., 2010; Handley, 2012)."
Theme 1: Decisions on governance mode and mechanism,"In the context of alliances with property based assets (Poppo and Zenger, 2002) and innovative, short life-cycle products with significant business uncertainties(Mahapatra et al., 2010), volatility (Carson et al., 2006)",emphasizing formal contracts as governance mechanism,"safeguards opportunism (Poppo and Zenger, 2002; Carson et al., 2006; Mahapatra et al., 2012)."
Theme 1: Decisions on governance mode and mechanism,"In the context of alliances with knowledge based assets(Poppo and Zenger, 2002), and ambiguity (Carson et al.,2006)",emphasizing relational contracts as the governance mechanism,"reduces opportunism (Poppo and Zenger, 2002; Carson et al.,2006)."
Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Beverland, 2005; Tiwana, 2008; Rowley et al., 2000)."
Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Beverland, 2005; Tiwana, 2008; Rowley et al., 2000)."
Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (McEvily and Zaheer, 1999;Tiwana, 2008; Choi and Kim, 2008)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","mproves relationship performance (Laaksonen et al., 2008;Whipple and Frankel, 2000; Johnston et al., 2004; Nyaga et al.,2010; Krishnan et al., 2006), including financial and relational outcomes (Palmatier et al., 2007);improves shared planning and flexibility in arrangements(Johnston et al., 2004);improves satisfaction (Nyaga et al., 2010);increases relationship effectiveness (Smith, 1997)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,collaboration/co-operation/transformational leadership in relationships,"leads to higher satisfaction with the relationship, satisfaction with performance and a higher performance (Whipple et al.,2010);increases relationship commitment (Hult et al., 2000);delivers positive supply chain operational and financial performance benefits (Fawcett et al., 2012)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,adaptive behavior within a relationship,"increases levels of trust and enhance commitment (Brennan and Turnbull, 1999);improves quality of produced products (Hagberg-Andersson,2006)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"use of noncoercive influence strategies (Rationality, Recommendations, Information Exchange, and Requests)","increases compliance by the target firm (Payan and McFarland,2005);increases trust, commitment, and joint action (Hausman and Johnston, 2010);improves supplier's delivery flexibility under high shared vision (Chang and Huang, 2012);leads to lower conflict (Leonidou et al., 2008)."
