gold_title,gold_context,gold_interv,gold_outcome,gold_theme,avg_llm_score,score_Qwen3-235B,score_DeepSeek-V3.2,score_LLama3.3-70B
FRANCHISOR-FRANCHISEE SUPPLY CHAIN COOPERATION: SHARING OF DEMAND FORECAST INFOR,In supplier relationships,the use of e-business technologies such as EDI,"decreases relationship conflict (Yan and Wang, 2012).",Theme 6: Operational practices of managing external resources,0.0,0,0,0
THE PERILOUS EFFECTS OF CAPABILITY LOSS ON OUTSOURCING MANAGEMENT AND PERFORMANC,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits (Handley, 2012).",Theme 1: Decisions on governance mode and mechanism,1.0,1,1,1
A CONTINGENT THEORY OF SUPPLIER MANAGEMENT INITIATIVES: EFFECTS OF COMPETITIVE I,"In the context of innovative, short life-cycle products with significant business uncertainties",emphasizing formal contracts as governance mechanism,"safeguards opportunism (Mahapatra et al., 2012).",Theme 1: Decisions on governance mode and mechanism,1.0,1,1,1
ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,In supplier relationships,a right level of internal and external integration,"increases supplier reliability and lowers acquisition costs(Malhotra and Mackelprang, 2012).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,In supplier relationships,good communication and information sharing,"improve lead-time performance (Malhotra and Mackelprang,2012).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
THE EFFECTS OF INFLUENCE STRATEGIES ON DEALER SATISFACTION AND PERFORMANCE IN TA,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance (Lai, 2007).",Theme 4: Strategic aspects of exploiting external resources,1.0,1,1,1
THE EFFECTS OF PARTNER AND RELATIONSHIP CHARACTERISTICS ON ALLIANCE OUTCOMES,In supply networks (network context),co-operative relationships between suppliers,"negatively influence supplier performance (Saxton, 1997).",Theme 4: Strategic aspects of exploiting external resources,1.0,1,1,1
"STRATEGIC PURCHASING, SUPPLY MANAGEMENT, AND FIRM PERFORMANCE",In strategic alliances (dyadic context),experiences and learning from alliances,"increase alliance benefits (Chen et al., 2004)",Theme 4: Strategic aspects of exploiting external resources,1.0,1,1,1
SUPPLIER EVALUATIONS: COMMUNICATION STRATEGIES TO IMPROVE SUPPLIER PERFORMANCE,In strategic alliances (dyadic context),experiences and learning from alliances,"increase alliance benefits ( Prahinski and Benton, 2004 )",Theme 4: Strategic aspects of exploiting external resources,1.0,1,1,1
"COOPERATION AMONG COMPANIES, UNIVERSITIES AND LOCAL GOVERNMENT IN A SWEDISH CONT",In the context of new product development,investing in technologically diverse alliances,"increases firm's innovations (Lundberg and Andresen, 2012).",Theme 5: Open innovation and interorganizational learning,1.0,1,1,1
RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADV,In supply networks (network context),integrated information technologies and information sharing,"increase supply performance (Dyer and Hatch, 2006).",Theme 4: Strategic aspects of exploiting external resources,1.0,1,1,1
FORMAL CONTROL AND SOCIAL CONTROL IN DOMESTIC AND INTERNATIONAL BUYER-SUPPLIER R,In supplier relationships,a right level of internal and external integration,"improves operational performance ( Li et al., 2010).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
CUSTOMER ORIENTATION FOR DECREASING TIME-TO-MARKET OF NEW PRODUCTS: IT IMPLEMENT,In supplier relationships,the use of e-business technologies such as EDI,"improves organizational performance (Feng et al., 2012).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
EMPLOYING INFORMATION TECHNOLOGY IN PURCHASING: BUYER-SUPPLIER RELATIONSHIPS AND,In supplier relationships,a right level of internal and external integration,"improves operational performance (Stump and Sriram, 1997).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
"E-REVERSE AUCTIONS REVISITED: AN ANALYSIS OF CONTEXT, BUYER-SUPPLIER RELATIONS A",In supplier relationships,a right level of internal and external integration,"positively impacts a firm's supply chain agility (L?sch and Lambert, 2007).",Theme 6: Operational practices of managing external resources,1.0,1,1,1
ADAPTING WITHIN RELATIONSHIPS TO ADAPT TO MARKET-LED CHANGE: DOES RELATIONSHIP S,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Beverland, 2005).",Theme 2: Network formation and relationship initiation,1.0,1,1,1
