paper_title,pred_context,pred_interv,pred_outcome,gold_count,label,reason,model
'BLACK-BOX' AND 'GRAY-BOX' SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTECEDE,In the presence of product innovation capabilities,fostering product innovation,leads to improved external quality,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on supplier integration (gray-box and black-box) in product development as the intervention, not fostering product innovation.",Qwen3-235B
A BUYER'S PERSPECTIVE ON COLLABORATIVE VERSUS TRANSACTIONAL RELATIONSHIPS,In the context of transactional buyer–supplier relationships with short-term focus,sharing rewards and costs with suppliers,leads to improved performance,1,FP,"The extracted CIMO focuses on transactional relationships with sharing rewards/costs, while the paper only discusses collaboration benefits over transactional relationships without mentioning sharing rewards/costs as an intervention.",Qwen3-235B
A BUYER'S PERSPECTIVE ON COLLABORATIVE VERSUS TRANSACTIONAL RELATIONSHIPS,In the context of transactional relationships where dedicated investments are uncommon,making dedicated investments in the supplier relationship,decreases satisfaction with the relationship,1,FP,"The extracted CIMO contradicts the paper's findings which show collaborative relationships lead to higher satisfaction, not dedicated investments in transactional relationships.",Qwen3-235B
A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER–SUPPLIER R,In relationships where senior management harbors negative perceptions about a partner's capabilities,organizing joint review meetings and relationship improvement plans at operational levels,does not lift the relationship to a strategic level,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on socialization tactics in buyer-supplier relationships and their impact on communication quality, not on joint review meetings or relationship improvement plans.",Qwen3-235B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,Power imbalance favoring the customer in buyer–supplier relationships,enforcing adaptations through coercive or implicit power use,results in increased supplier adaptations,1,FP,"The extracted CIMO mentions power imbalance and coercive power use, which are not supported by the paper excerpt.",Qwen3-235B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,Planned decision-making processes for major inter-firm changes,making strategic adaptations through formal investment analysis,leads to long-term relationship-specific investments,1,FP,"The extracted CIMO's intervention 'making strategic adaptations through formal investment analysis' is not explicitly supported by the paper excerpt, which focuses on adaptive behavior in buyer-supplier relationships without mentioning formal investment analysis as the mechanism.",Qwen3-235B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,Buyer organization pursuing a partnership sourcing strategy,outsourcing core systems operations to a supplier,leads to substantial customer adaptations,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on adaptive behavior in buyer-supplier relationships rather than outsourcing core systems operations.",Qwen3-235B
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,Presence of uncooperative suppliers in the NPD process,experiencing supplier obstructionism,leads to increased project development time,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on supplier involvement rather than obstructionism.",Qwen3-235B
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,Projects with high technical difficulty requiring new technological capabilities,relying on supplier quality control for involvement decisions,results in reduced supplier involvement,1,FP,"The extracted CIMO contradicts the paper's findings, which suggest supplier involvement generally improves project outcomes rather than reducing supplier involvement.",Qwen3-235B
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,Supplier relationships characterized by strong quality practices and certification,providing quality control information to buyers,leads to decreased supplier obstructionism,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on supplier involvement in new product development rather than providing quality control information to buyers.",Qwen3-235B
