id,gold_title,gold_theme,gold_context,gold_interv,gold_outcome,best_pred_ctx,best_pred_int,best_pred_out,best_score,c_match,i_match,o_match,best_reason,human_score,human_c,human_i,human_o,human_note
1,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEM,Theme 1: Decisions on governance mode and mechanism,In the context of alliances with property based assets ,emphasizing formal contracts as governance mechanism,"safeguards opportunism (Poppo and Zenger, 2002).","In interorganizational exchanges characterized by exchange hazards such as asset specificity, measurement difficulty, and technological uncertainty.",crafting more complex and customized contracts that define remedies for foreseeable contingencies and specify processes for resolving unforeseeable outcomes.,"leads to enhanced exchange performance as measured by satisfaction with cost, quality, and responsiveness.",3,True,True,False,I clearly matches: 'crafting more complex and customized contracts' is a specific form of 'emphasizing formal contracts as governance mechanism' - both describe formal contract-based governance. C matches at abstract level: 'alliances with property based assets' relates to 'exchange hazards such as asset specificity' in interorganizational exchanges. O differs: safeguarding opportunism (risk prevention) is distinct from enhanced exchange performance (positive outcome).,,,,,
2,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AM,Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Tiwana, 2008).",In innovation-seeking project alliances where the successful accomplishment of novel projects requires the heterogeneity of capabilities and expertise provided by bridging ties among alliance partners,"having a portfolio of strong ties characterized by high levels of trust, reciprocity, and close personal interaction among project participants","facilitates knowledge integration at the project level by enhancing communication, shared language, and willingness to share proprietary knowledge",3,True,True,False,"The intervention clearly matches - both describe building/maintaining strong ties characterized by trust as the core management action, and the specific context of innovation-seeking project alliances is a valid subset of the abstract 'network formation' context.",,,,,
3,CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"increase the likelihood of successful major innovations(Coviello and Joseph, 2012).",In the context of major innovation development,involving customers in all NPD activities and multiple roles,increases the likelihood of MI success,3,True,True,True,"The intervention matches clearly: 'involving customers in all NPD activities and multiple roles' is a specific expression of the more abstract 'involving customers in the NPD project', both describing the same core action of customer integration in NPD.",,,,,
4,BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),investment in alliance learning tools,"increases alliance capability (Sluyts et al., 2011).",In firms seeking to manage their portfolio of strategic alliances and improve alliance outcomes,"developing and using codification learning processes such as checklists, guidelines, manuals, and well-defined processes to guide alliance formation and management",positively influences the firm's overall alliance success and performance,3,True,True,False,"The intervention matches because 'codification learning processes such as checklists, guidelines, manuals' are specific types of 'alliance learning tools', and both contexts involve strategic alliances, though outcomes differ (capability vs. success/performance).",,,,,
5,AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves product quality (Primo and Amundson, 2002).","In new product development projects where suppliers have strong quality practices, such as providing quality control information and being certified.",involving those suppliers more actively in the NPD process through direct participation and frequent communication,leads to a higher level of supplier involvement in the NPD project,3,True,True,False,"Both interventions center on supplier involvement in NPD projects, with CIMO_A specifying mechanisms (direct participation, frequent communication) that instantiate the general intervention in CIMO_B, and contexts align as specific-to-general NPD settings.",,,,,
6,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEM,Theme 1: Decisions on governance mode and mechanism,In the context of alliances with knowledge based assets,emphasizing relational contracts as the governance mechanism,"reduces opportunism (Poppo and Zenger, 2002).",In exchanges where the underlying technology is rapidly changing (high technological uncertainty).,developing greater levels of relational governance characterized by norms of flexibility and cooperation.,prompts greater levels of relational governance to encourage continuance.,3,True,True,False,The intervention clearly matches - 'relational governance characterized by norms of flexibility and cooperation' and 'relational contracts as the governance mechanism' describe the same governance approach. Context also matches at abstraction level since exchanges with rapidly changing technology are a specific type of knowledge-based alliance context.,,,,,
7,CREATING SUPPLY CHAIN RELATIONAL CAPITAL: THE IMPACT OF FORMAL AND INFORMAL SOCI,Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"increases supply chain relational capital (Cousins et al., 2006).",In buyer-supplier relationships.,Engaging in informal socialization processes.,Increases relational capital.,3,True,True,True,"The core intervention of socialization matches clearly (engaging in informal socialization processes vs. using socialization as a tactic), and both context (buyer-supplier relationships) and outcome (increasing relational capital) align at the same abstraction level.",,,,,
8,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AM,Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (Tiwana, 2008).",In innovation-seeking project alliances where the successful accomplishment of novel projects requires the heterogeneity of capabilities and expertise provided by bridging ties among alliance partners,"having a portfolio of bridging ties that connect individuals with diverse and heterogeneous backgrounds, experiences, knowledge, and skills, spanning structural holes","was hypothesized to impede knowledge integration due to differences in thought worlds, professional language, and norms, but the empirical test did not support a negative relationship",3,True,True,False,"The intervention matches well - both describe maintaining/having a portfolio of bridging ties as the core action, with CIMO_A's specific 'spanning structural holes' being a subset of CIMO_B's abstract 'bridging ties to network resources'; context also matches as innovation-seeking alliances is a subset of network formation; however, outcomes differ fundamentally - CIMO_A reports a null finding (no negative effect on knowledge integration) while CIMO_B claims a positive effect on innovation.",,,,,
9,"""BLACK-BOX"" AND ""GRAY-BOX"" SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTECEDE",Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"increases product innovation (only grey box) (Koufteros et al.,2007).",In the context of supplier integration in product development.,Practicing gray-box supplier integration.,increases product innovation.,3,True,True,True,"Both CIMOs describe the identical intervention of gray-box supplier integration in product development contexts, with the same outcome of increasing product innovation.",,,,,
10,BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"supports the development of relational capital (Petersen et al.,2008)",During buyer-supplier socialization efforts.,investing in socialization mechanisms,enhances relational capital formation,1,False,False,True,"The interventions are fundamentally different: 'increasing dependency' is about power dynamics and creating reliance, while 'investing in socialization mechanisms' is about building relationships through interaction processes - these are distinct management actions.",,,,,
