id,paper_title,_folder,cimo_id,context,intervention,outcome,model_theme,model_theme_str,theme_confidence,theme_alt,human_theme,human_note
1,Arcs of integration: an international study of supply chain strategies,frohlich2001/hybrid_auto,7,In the context of supply chain coordination.,integrating information systems and data flows,enhances supply chain coordination and performance,6,Theme 6,high,,,
2,Social exchange in supply chain relationships: The resulting benefits ,griffith2005/hybrid_auto,6,When a firm has a long-term orientation in a supply chain relationship.,Maintaining a long-term orientation toward the partner.,increases partner satisfaction.,3,Theme 3,high,,,
3,In union lies strength: Collaborative competence in new product develo,mishra2008/hybrid_auto,6,In the context of cross-functional involvement in NPD.,involving cross-functional teams in the NPD process.,improves information processing and problem identification.,5,Theme 5,high,,,
4,Strategic Alliance Success Factors,whipple2000/hybrid_auto,6,In a strategic alliance requiring common direction.,establishing clear alliance goals.,influences alliance success.,3,Theme 3,high,,,
5,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN ,fawcett2012/hybrid_auto,13,When resistance stems from lack of trust,building trust through interaction and communication,enables cultural and structural change,3,Theme 3,medium,Theme 4,,
6,Adaptive Behavior in Buyer–Supplier Relationships,brennan1999/hybrid_auto,3,In a relationship with high supplier dependence.,the powerful customer enforcing supplier adaptations.,increases supplier adaptations.,3,Theme 3,high,,,
7,An empirical study of the impact of e-business technologies on organiz,sanders2007/hybrid_auto,2,In the context of supply chain management.,Using e-business technologies.,increases inter-organizational collaboration.,6,Theme 6,high,,,
8,In union lies strength: Collaborative competence in new product develo,mishra2008/hybrid_auto,5,In the context of customer involvement in NPD.,involving customers in the NPD process.,reduces development uncertainty and overruns.,5,Theme 5,high,,,
9,"Cooperation among companies, universities and local government in a Sw",lundberg2012/hybrid_auto,6,When academic and commercial logics conflict in R&D cooperation.,establishing intellectual property protocols favoring commercialization.,secures continued industrial engagement in joint R&D.,3,Theme 3,medium,Theme 5,,
10,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES ,poppo2002/hybrid_auto,9,In the context of greater firm resources and experience.,crafting more complex contracts.,increases contract complexity.,1,Theme 1: Decisions on governance mode and mechanism,high,,,
11,Bridging Ties: A Source of Firm Heterogeneity in Competitive Capabilit,McEvily-BridgingTiesSource-1999/hybrid_auto,4,In the context of available regional institutional support.,participating in regional institutions,increases acquisition of certain competitive capabilities,2,Theme 2,high,,,
12,Development and validation of a measurement instrument for studying su,li2005/hybrid_auto,2,In the context of managing customer relationships for competitive advantage,managing customer relationships,differentiates products and sustains customer loyalty,3,Theme 3,high,,,
13,The dark side of buyer–supplier relationships: A social capital perspe,villena2010/hybrid_auto,9,In the context of excessive relational social capital.,adhering to excessive reciprocity norms,constrains buyer flexibility and resource allocation,3,Theme 3,high,,,
14,Supplier evaluations: communication strategies to improve supplier per,prahinski2004/hybrid_auto,8,In the context of buyer-supplier relationships and supplier development.,Using collaborative communication in supplier development.,does not directly improve supplier performance.,3,Theme 3,medium,Theme 4,,
15,Towards an understanding of attraction in buyer–supplier relationships,hald2009/hybrid_auto,8,When a firm seeks to manage partner attraction.,"influencing partner perceptions of value, trust, and dependence",enhances partner attraction,3,Theme 3,high,,,
16,The effects of customer and supplier involvement on competitive advant,feng2010/hybrid_auto,3,In a firm in China's business environment.,Increasing customer involvement.,improves process flexibility.,5,Theme 5,high,,,
17,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TEC,tiwana2007/hybrid_auto,2,In technology outsourcing alliances.,maintaining peripheral knowledge and deploying process control.,decreases alliance performance.,1,Theme 1,medium,Theme 3,,
18,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier R",10.1111@j.1745-493X.2007.00040.x/hybrid_auto,6,In the context of e-reverse auctions for strategic goods,using e-RAs for strategic purchasing,is a feasible sourcing approach,1,Theme 1,high,,,
19,'Black-box' and 'gray-box' supplier integration in product development,koufteros2006/hybrid_auto,8,In the context of supplier integration in product development.,Practicing black-box supplier integration.,does not increase product innovation.,5,Theme 5,high,,,
