Research Theme,Context,Intervention,Outcome,Title
Theme 1: Decisions on governance mode and mechanism,"In the context of high asset specificity, volume uncertainty, and behavioral uncertainty",choosing hierarchical governance,"leads to enhanced performance (Geyskens et al., 2006).","MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS"
Theme 1: Decisions on governance mode and mechanism,"In the context of low asset specificity, volume uncertainty, and behavioral uncertainty",choosing market governance,"leads to enhanced performance (Geyskens et al., 2006).","MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS"
Theme 1: Decisions on governance mode and mechanism,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits (Tiwana and Keil, 2007).",DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OUTSOURCING ALLIANCES
Theme 1: Decisions on governance mode and mechanism,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits ( Bustinza et al., 2010).",OUTSOURCING AS SEEN FROM THE PERSPECTIVE OF KNOWLEDGE MANAGEMENT
Theme 1: Decisions on governance mode and mechanism,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits (Handley, 2012).",The perilous effects of capability loss on outsourcing management and performance
Theme 1: Decisions on governance mode and mechanism,In the context of alliances with property based assets ,emphasizing formal contracts as governance mechanism,"safeguards opportunism (Poppo and Zenger, 2002).",DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?
Theme 1: Decisions on governance mode and mechanism,"In the context of innovative, short life-cycle products with significant business uncertainties",emphasizing formal contracts as governance mechanism,"safeguards opportunism (Mahapatra et al., 2012).",A contingent theory of supplier management initiatives: Effects of competitive intensity and product life cycle
Theme 1: Decisions on governance mode and mechanism,"In the context of innovative, short life-cycle products with significant business volatility",emphasizing formal contracts as governance mechanism,"safeguards opportunism (Carson et al., 2006).","UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING"
Theme 1: Decisions on governance mode and mechanism,In the context of alliances with knowledge based assets,emphasizing relational contracts as the governance mechanism,"reduces opportunism (Poppo and Zenger, 2002).",DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?
Theme 1: Decisions on governance mode and mechanism,In the context of alliances with knowledge based ambiguity ,emphasizing relational contracts as the governance mechanism,"reduces opportunism (Carson et al.,2006).","UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING"
Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Beverland, 2005).",Adapting within relationships to adapt to market-led change: Does relationship success lead to marketplace inertia?
Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Tiwana, 2008).",DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY
Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Rowley et al., 2000).",Redundant Governance Structures: An Analysis of Structural and Relational Embeddedness in the Steel and Semiconductor Industries
Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Beverland, 2005).",Adapting within relationships to adapt to market-led change: Does relationship success lead to marketplace inertia?
Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Tiwana, 2008).",DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY
Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Rowley et al., 2000).",Redundant Governance Structures: An Analysis of Structural and Relational Embeddedness in the Steel and Semiconductor Industries
Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (McEvily and Zaheer, 1999).",Bridging Ties: A Source of Firm Heterogeneity in Competitive Capabilities
Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (Tiwana, 2008).",DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY
Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (Choi and Kim, 2008).",STRUCTURAL EMBEDDEDNESS AND SUPPLIER MANAGEMENT: A NETWORK PERSPECTIVE
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance (Laaksonen et al., 2008).",Co-evolution of trust and dependence in customer-supplier relationships
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance (Whipple and Frankel, 2000).",Strategic Alliance Success Factors
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance (Johnston et al., 2004).","Effects of supplier trust on performance of cooperativesupplier relationships"
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance (Nyaga et al.,2010).",Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance (Krishnan et al., 2006).",WHEN DOES TRUST MATTER TO ALLIANCE PERFORMANCE?
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves relationship performance including financial and relational outcomes (Palmatier et al., 2007).",A Comparative Longitudinal Analysis of Theoretical Perspectives of Interorganizational Relationship Performance
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves shared planning and flexibility in arrangements(Johnston et al., 2004).","Effects of supplier trust on performance of cooperativesupplier relationships"
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","improves satisfaction (Nyaga et al., 2010).",Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"increasing interfirm trust, commitment and/or using relational norms","increases relationship effectiveness (Smith, 1997).",Selling Alliances: Issues and Insights
Theme 3: Interorganizational relationships,In both supplier and customer relationships,collaboration/co-operation/transformational leadership in relationships,"leads to higher satisfaction with the relationship, satisfaction with performance and a higher performance (Whipple et al.,2010).",A buyer's perspective on collaborative versus transactional relationships
Theme 3: Interorganizational relationships,In both supplier and customer relationships,collaboration/co-operation/transformational leadership in relationships,"increases relationship commitment (Hult et al., 2000).",Leadership and Relationship Commitment: A Focus on the Supplier-Buyer-User Linkage
Theme 3: Interorganizational relationships,In both supplier and customer relationships,collaboration/co-operation/transformational leadership in relationships,"delivers positive supply chain operational and financial performance benefits (Fawcett et al., 2012).",PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS
Theme 3: Interorganizational relationships,In both supplier and customer relationships,adaptive behavior within a relationship,"increases levels of trust and enhance commitment (Brennan and Turnbull, 1999).",Adaptive Behavior in Buyer-Supplier Relationships
Theme 3: Interorganizational relationships,In both supplier and customer relationships,adaptive behavior within a relationship,"improves quality of produced products (Hagberg-Andersson,2006).",Does adaptation pay off ?
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"use of noncoercive influence strategies (Rationality, Recommendations, Information Exchange, and Requests)","increases compliance by the target firm (Payan and McFarland,2005).",Decomposing Influence Strategies: Argument Structure and Dependence as Determinants of the Effectiveness of Influence Strategies in Gaining Channel Member Compliance
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"use of noncoercive influence strategies (Rationality, Recommendations, Information Exchange, and Requests)","increases trust, commitment, and joint action (Hausman and Johnston, 2010).","The impact of coercive and non-coercive forms of influence on trust, commitment, and compliance in supply chains"
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"use of noncoercive influence strategies (Rationality, Recommendations, Information Exchange, and Requests)","improves supplier's delivery flexibility under high shared vision (Chang and Huang, 2012)",Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"use of noncoercive influence strategies (Rationality, Recommendations, Information Exchange, and Requests)","leads to lower conflict (Leonidou et al., 2008).",Exercised power as a driver of trust and commitment in cross-border industrial buyer-seller relationships
Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"increases the (operational and strategic) performance in the relationship (Kohtam?kil., 2012)",Enabling relationship structures and relationship performance improvement: The moderating role of relational capital
Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"increases the (operational and strategic) performance in the relationship ( Cousins et al., 2006).",Creating supply chain relational capital: The impact of formal and informal socialization processes
Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"increases the (operational and strategic) performance in the relationship (Villena et al., 2011).",The dark side of buyer-supplier relationships: A social capital perspective
