filename,journal,year,paper_uuid,pred_label,reasoning,raw_response
AMJ_11d4d2e3-c702-4b6b-a523-9c3d3437db72.md,Academy_of_Management_Journal,2020,AMJ_11d4d2e3-c702-4b6b-a523-9c3d3437db72,0,"The paper focuses on internal corporate management, specifically socialization of employees within an organization, and does not explicitly involve inter-organizational relations or adopt a managerial viewpoint on such relations.","{
    ""reasoning"": ""The paper focuses on internal corporate management, specifically socialization of employees within an organization, and does not explicitly involve inter-organizational relations or adopt a managerial viewpoint on such relations."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026.md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026,0,"The paper is an editorial focused on responsible research practices in management science, lacking a specific inter-organizational relations topic and theory development or testing from a managerial viewpoint.","{
    ""reasoning"": ""The paper is an editorial focused on responsible research practices in management science, lacking a specific inter-organizational relations topic and theory development or testing from a managerial viewpoint."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026 (1).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (1),0,"The paper focuses on organizational change and discovery within the organization, which does not explicitly involve inter-organizational relations, and thus does not meet the topic criterion for inclusion in the 'External Resource Management' literature review.","{
    ""reasoning"": ""The paper focuses on organizational change and discovery within the organization, which does not explicitly involve inter-organizational relations, and thus does not meet the topic criterion for inclusion in the 'External Resource Management' literature review."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026 (10).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (10),0,"The paper focuses on internal corporate management, specifically on organizational selection decisions and employee motivation, which does not meet the topic criterion of inter-organizational relations.","{
    ""reasoning"": ""The paper focuses on internal corporate management, specifically on organizational selection decisions and employee motivation, which does not meet the topic criterion of inter-organizational relations."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026 (11).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (11),1,"The paper explicitly focuses on inter-organizational relationships, involves theory development through a process model, and adopts a managerial viewpoint by exploring relational dynamics between organizations.","{
    ""reasoning"": ""The paper explicitly focuses on inter-organizational relationships, involves theory development through a process model, and adopts a managerial viewpoint by exploring relational dynamics between organizations."",
    ""decision"": 1
}"
EBSCO-FullText-04_17_2026 (12).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (12),1,"The paper focuses on inter-organizational relations, specifically alliance partners and competitors, and involves theory development on vicarious learning from a managerial viewpoint.","{
    ""reasoning"": ""The paper focuses on inter-organizational relations, specifically alliance partners and competitors, and involves theory development on vicarious learning from a managerial viewpoint."",
    ""decision"": 1
}"
EBSCO-FullText-04_17_2026 (13).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (13),0,"The paper focuses on internal corporate management, specifically work-family balance and breastfeeding at work, which does not meet the topic criteria of inter-organizational relations.","{
    ""reasoning"": ""The paper focuses on internal corporate management, specifically work-family balance and breastfeeding at work, which does not meet the topic criteria of inter-organizational relations."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026 (14).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (14),1,"The paper focuses on interteam information sharing and performance in multiteam systems, which is a type of inter-organizational relation, and it involves theory development and testing from a managerial viewpoint.","{
    ""reasoning"": ""The paper focuses on interteam information sharing and performance in multiteam systems, which is a type of inter-organizational relation, and it involves theory development and testing from a managerial viewpoint."",
    ""decision"": 1
}"
EBSCO-FullText-04_17_2026 (15).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (15),0,The paper does not focus on inter-organizational relations and lacks an explicit managerial viewpoint on external resource management.,"{
    ""reasoning"": ""The paper does not focus on inter-organizational relations and lacks an explicit managerial viewpoint on external resource management."",
    ""decision"": 0
}"
EBSCO-FullText-04_17_2026 (16).md,Academy_of_Management_Journal,2020,EBSCO-FullText-04_17_2026 (16),0,"The paper focuses on internal organizational identity and its change over time, which does not meet the inclusion criteria of inter-organizational relations, and thus is not relevant to the 'External Resource Management' literature review.","{
    ""reasoning"": ""The paper focuses on internal organizational identity and its change over time, which does not meet the inclusion criteria of inter-organizational relations, and thus is not relevant to the 'External Resource Management' literature review."",
    ""decision"": 0
}"
