Source_File,Title,Authors,Research_Theme,Context,Intervention,Outcome
partanen2008.md,Social capital in the growth of science-and-technology-based SMEs,"Jukka Partanen, Kristian Möller, Mika Westerlund, Risto Rajala, Arto Rajala",Theme 2: Network formation and relationship initiation,In the transition from innovation assessment to offering development,"leveraging personal relationships with knowledge, innovation, and technology (KIT) actors",leads to enhanced access to critical knowledge and resources
partanen2008.md,Social capital in the growth of science-and-technology-based SMEs,"Jukka Partanen, Kristian Möller, Mika Westerlund, Risto Rajala, Arto Rajala",Theme 3: Interorganizational relationships,In the transition from offering development to commercialization,demonstrating expertise to establish credibility with major firms,leads to the formation of reference partnerships that reduce liability of newness
partanen2008.md,Social capital in the growth of science-and-technology-based SMEs,"Jukka Partanen, Kristian Möller, Mika Westerlund, Risto Rajala, Arto Rajala",Theme 6: Operational practices of managing external resources,In the transition from commercialization to rapid growth,managing a diversified portfolio of network relationships,supports scalability and reduces dependency on individual partners
partanen2008.md,Social capital in the growth of science-and-technology-based SMEs,"Jukka Partanen, Kristian Möller, Mika Westerlund, Risto Rajala, Arto Rajala",Theme 4: Strategic aspects of exploiting external resources,During rapid growth in science-and-technology-based SMEs,utilizing structural social capital to attract international distributors,decreases the need for personal ties in partner identification
partanen2008.md,Social capital in the growth of science-and-technology-based SMEs,"Jukka Partanen, Kristian Möller, Mika Westerlund, Risto Rajala, Arto Rajala",Theme 5: Open innovation and interorganizational learning,Throughout the growth process of technology-based SMEs,maintaining continuous collaboration with KIT networks,promotes sustained renewal and responsiveness to emerging opportunities
vickery2003.md,The effects of an integrative supply chain strategy on customer service and financial performance: an analysis of direct versus indirect relationships,"Shawnee K. Vickery, Jayanth Jayaram, Cornelia Droge, Roger Calantone",Theme 6: Operational practices of managing external resources,In buyer-supplier-customer networks in the automotive industry,adopting integrative information technologies,leads to enhanced supply chain integration
vickery2003.md,The effects of an integrative supply chain strategy on customer service and financial performance: an analysis of direct versus indirect relationships,"Shawnee K. Vickery, Jayanth Jayaram, Cornelia Droge, Roger Calantone",Theme 3: Interorganizational relationships,In first-tier supplier firms with integrated value chains,increasing supply chain integration,leads to improved customer service
vickery2003.md,The effects of an integrative supply chain strategy on customer service and financial performance: an analysis of direct versus indirect relationships,"Shawnee K. Vickery, Jayanth Jayaram, Cornelia Droge, Roger Calantone",Theme 4: Strategic aspects of exploiting external resources,In competitive manufacturing environments,improving customer service,leads to better financial performance
sluyts2011.md,Building capabilities to manage strategic alliances,"Kim Sluyts, Paul Matthyssens, Rudy Martens, Sandra Streukens",Theme 5: Open innovation and interorganizational learning,In the context of managing strategic alliances,implementing alliance knowledge codification and sharing processes,leads to enhanced alliance performance
sluyts2011.md,Building capabilities to manage strategic alliances,"Kim Sluyts, Paul Matthyssens, Rudy Martens, Sandra Streukens",Theme 5: Open innovation and interorganizational learning,In the context of high top management team (TMT) commitment,involving the top management team in alliance decisions and linking their incentives to alliance outcomes,leads to enhanced alliance capability and performance
sluyts2011.md,Building capabilities to manage strategic alliances,"Kim Sluyts, Paul Matthyssens, Rudy Martens, Sandra Streukens",Theme 6: Operational practices of managing external resources,In the context of establishing an alliance management function,creating a dedicated alliance management department or role,increases alliance capability through improved codification processes
sluyts2011.md,Building capabilities to manage strategic alliances,"Kim Sluyts, Paul Matthyssens, Rudy Martens, Sandra Streukens",Theme 5: Open innovation and interorganizational learning,In the context of prior alliance experience,accumulating experience from multiple strategic alliances,partially mediates the development of alliance learning processes
sluyts2011.md,Building capabilities to manage strategic alliances,"Kim Sluyts, Paul Matthyssens, Rudy Martens, Sandra Streukens",Theme 3: Interorganizational relationships,In the context of an adhocracy organizational culture,fostering an open and innovative culture,enhances alliance knowledge sharing and improves performance
hartley1997.md,Managing the buyer-supplier interface for on-time performance in product development,"Janet L. Hartley, B.J. Zirger, Rajan R. Kamath",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships during product development,selecting suppliers with strong technical capabilities,leads to fewer supplier-related delays
hartley1997.md,Managing the buyer-supplier interface for on-time performance in product development,"Janet L. Hartley, B.J. Zirger, Rajan R. Kamath",Theme 3: Interorganizational relationships,In the context of high supplier-related delays,increasing the percentage of supplier's activities completed on time,decreases overall project delays
hartley1997.md,Managing the buyer-supplier interface for on-time performance in product development,"Janet L. Hartley, B.J. Zirger, Rajan R. Kamath",Theme 1: Decisions on governance mode and mechanism,When managing complex product development projects,placing high priority on the project by top management,decreases overall project delays
hartley1997.md,Managing the buyer-supplier interface for on-time performance in product development,"Janet L. Hartley, B.J. Zirger, Rajan R. Kamath",Theme 4: Strategic aspects of exploiting external resources,In the context of significant product innovation,limiting the degree of technical change in new products,decreases overall project delays
hagberg-andersson2006.md,Does adaptation pay off ?,A˚ sa Hagberg-Andersson,Theme 3: Interorganizational relationships,In buyer-supplier relationships within a supply network,engaging in joint adaptation through shared infrastructure,"leads to improved quality, reduced costs, and strengthened market position for suppliers"
hagberg-andersson2006.md,Does adaptation pay off ?,A˚ sa Hagberg-Andersson,Theme 6: Operational practices of managing external resources,When suppliers face quality demands from a powerful buyer,adopting standardized calibration processes collectively,improves product quality and decreases delays and inspection needs
hagberg-andersson2006.md,Does adaptation pay off ?,A˚ sa Hagberg-Andersson,Theme 2: Network formation and relationship initiation,Among competing suppliers in a regional business network,cooperating with competitors to establish a shared service facility,enables successful collaboration despite competition and leads to mutual efficiency gains
nyaga2009.md,Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?,"Gilbert N. Nyaga, Judith M. Whipple, Daniel F. Lynch",Theme 3: Interorganizational relationships,In buyer-supplier collaborative relationships,engaging in information sharing,leads to enhanced commitment and trust
nyaga2009.md,Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?,"Gilbert N. Nyaga, Judith M. Whipple, Daniel F. Lynch",Theme 3: Interorganizational relationships,In the context of collaborative supply chain relationships,making dedicated investments,increases commitment but does not directly increase trust
