id,paper_title,pred_context,pred_interv,pred_outcome,gold_count,label,reason,human_label,human_note
1,AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,In the context of technically difficult NPD projects.,increasing reliance on suppliers,increases supplier involvement,1,FP,"The intervention 'increasing reliance on suppliers' and outcome 'increases supplier involvement' are essentially the same concept, creating a circular and incoherent C-I-O relationship; the paper actually finds technical difficulty predicts supplier involvement directly (Hypothesis 3), not through an intervention of 'increasing reliance'.",,
2,ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,In the context of product modification strategies.,Integrating external and internal modification scope flexibilities.,improves delivery performance.,3,VN,"The extracted CIMO is not in the reference list but is explicitly supported by the paper, which tests and confirms H1a that complementarity of inbound supplier, modification scope, and outbound logistics flexibilities has a positive effect on delivery performance, with the intervention representing a coordinated management action of integrating internal and external flexibility capabilities.",,
3,ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,When a buyer's partnership rhetoric lacks tangible action.,the supplier being cautious about further investment.,leads to supplier caution and withheld investment.,1,FP,"The intervention 'the supplier being cautious about further investment' is a state/condition rather than a management action, and the outcome 'supplier caution and withheld investment' is essentially identical to the intervention, creating a circular and incoherent C-I-O relationship.",,
4,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEM,In the context of high technological uncertainty.,developing relational governance.,increases relational governance.,2,FP,"The C-I-O relationship is incoherent because the intervention 'developing relational governance' and the outcome 'increases relational governance' are essentially the same concept, creating a tautological rather than causal relationship.",,
5,A HOLISTIC APPROACH TO NEW PRODUCT DEVELOPMENT: NEW INSIGHTS,In the context of new product development processes.,Involving internal non-traditional functions early in NPD.,improves delivery service.,2,VN,"The paper explicitly supports this CIMO: IPDI (involving manufacturing, purchasing, and logistics—labeled as 'nontraditional' internal parties) early in NPD has a significant total effect on delivery service (t=3.20, p<0.05), and this finding is not captured in the reference CIMOs which focus on external parties (customers, suppliers) and manufacturing agility.",,
6,BRIDGING TIES: A SOURCE OF FIRM HETEROGENEITY IN COMPETITIVE CAPABILITIES,For firms with limited bridging ties in their network.,participating in regional institutions,substitutes for a lack of direct bridging ties,1,VN,"The paper explicitly supports all three dimensions: the context (firms with limited bridging ties participate more in regional institutions per the negative relationship between nonredundancy and participation), the intervention (participating in regional institutions is a clear management action), and the outcome (the paper states that 'a participating firm's link with a regional institution may act as a surrogate tie by serving as a functional substitute for its own cluster of bridging ties').",,
7,AN EMPIRICAL STUDY OF THE IMPACT OF E-BUSINESS TECHNOLOGIES ON ORGANIZATIONAL CO,In the context of inter-organizational collaboration.,Engaging in inter-organizational collaboration.,increases intra-organizational collaboration.,1,FP,"The context 'In the context of inter-organizational collaboration' is essentially identical to the intervention 'Engaging in inter-organizational collaboration', creating a circular and incoherent C-I-O structure where the context and intervention are redundant rather than distinct dimensions.",,
8,ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,When supplier expertise negates buyer power.,the customer making adaptations for a key supplier.,results in customer adaptations.,1,FP,"The C-I-O relationship is incoherent because the intervention ('customer making adaptations') and the outcome ('results in customer adaptations') are essentially the same thing, creating circular reasoning rather than a meaningful causal relationship.",,
9,BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,In the context of managing a portfolio of strategic alliances,implementing sharing learning processes,increases alliance performance,1,VN,"The extracted CIMO is not in the reference list and is supported by the paper: sharing learning processes (one of four learning mechanisms studied) significantly positively affects alliance performance (coefficient 0.286**, p<0.05), and the context of managing a portfolio of strategic alliances aligns with the firm-level focus of the study.",,
10,CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,In the context of major innovation development,involving customers as technical advisors and codevelopers,increases the likelihood of MI success,1,TP,"All three dimensions match the reference CIMO: context (major innovation development ⊆ new product development), intervention (involving customers as technical advisors and codevelopers ⊆ involving customers in NPD), and outcome (increases likelihood of MI success = increase likelihood of successful major innovations).",,
